DateTime,O2,CO2,WVP,FR,BP,RH,TempRH,Analog_1,Analog_2,Analog_3,Analog_4,Analog_5,Analog_6,Analog_7,Analog_8,Thermo_1,Thermo_2,Thermo_3,Thermo_4,DigitalOut,Marker
3/23/22 14:01:14,20.86589,5.49E-02,2.731006,207.9075,100.9877,59.19517,31.45866,2.584198,2.584281,2.584444,2.584263,2.584147,2.584375,2.584074,2.584158,-1000,-1000,-1000,-1000,0,-1
3/23/22 14:01:15,20.86579,5.48E-02,2.731357,205.9476,100.9872,59.1983,31.45879,2.584168,2.584248,2.584448,2.584275,2.584096,2.584395,2.58405,2.584136,-1000,-1000,-1000,-1000,0,-1
3/23/22 14:01:16,20.86616,5.48E-02,2.731067,219.4842,100.9872,59.20183,31.4564,2.584234,2.584218,2.58446,2.584283,2.58411,2.584354,2.584049,2.584145,-1000,-1000,-1000,-1000,0,-1
3/23/22 14:01:17,20.86572,5.50E-02,2.731295,209.0668,100.9865,59.2018,31.45788,2.584139,2.584303,2.584426,2.584293,2.584135,2.584347,2.584049,2.584013,-1000,-1000,-1000,-1000,0,-1
3/23/22 14:01:18,20.86586,5.53E-02,2.731199,222.652,100.9867,59.204,31.45652,2.584223,2.584265,2.584412,2.584311,2.584157,2.584366,2.584061,2.584097,-1000,-1000,-1000,-1000,0,-1
3/23/22 14:01:19,20.86568,5.48E-02,2.731225,200.1301,100.9869,59.20618,31.45591,2.584218,2.58424,2.584359,2.584194,2.58411,2.584349,2.584025,2.584128,-1000,-1000,-1000,-1000,0,-1
3/23/22 14:01:20,20.86581,5.51E-02,2.731849,212.4031,100.9868,59.21213,31.45838,2.584229,2.584247,2.584377,2.584214,2.584036,2.584304,2.583993,2.584177,-1000,-1000,-1000,-1000,0,-1
3/23/22 14:01:21,20.86572,5.48E-02,2.732228,202.3635,100.9873,59.2137,31.46036,2.584249,2.584234,2.58447,2.584266,2.584115,2.584331,2.584036,2.584134,-1000,-1000,-1000,-1000,0,-1
3/23/22 14:01:22,20.86575,0.0542206,2.731931,206.4241,100.9877,59.2173,31.45737,2.584181,2.584255,2.584452,2.584244,2.584104,2.584373,2.584005,2.584091,-1000,-1000,-1000,-1000,0,-1
3/23/22 14:01:23,20.8658,5.40E-02,2.732227,185.7534,100.9879,59.2201,31.45881,2.584255,2.584268,2.584426,2.5843,2.584095,2.584346,2.583948,2.584053,-1000,-1000,-1000,-1000,0,-1
3/23/22 14:01:24,20.8658,5.41E-02,2.732184,183.8826,100.9869,59.22309,31.45802,2.584141,2.584236,2.584457,2.584321,2.584131,2.584345,2.584007,2.584129,-1000,-1000,-1000,-1000,0,-1
3/23/22 14:01:25,20.8658,5.42E-02,2.732874,183.8826,100.9871,59.23007,31.46041,2.584239,2.584224,2.584381,2.584298,2.584091,2.584331,2.583997,2.584111,-1000,-1000,-1000,-1000,0,-1
3/23/22 14:01:26,20.86589,5.50E-02,2.732992,199.1898,100.9874,59.23304,31.45953,2.584229,2.584273,2.584467,2.58421,2.584076,2.584348,2.584051,2.584102,-1000,-1000,-1000,-1000,0,-1
3/23/22 14:01:27,20.8659,5.50E-02,2.732727,206.9108,100.9872,59.23083,31.45848,2.584234,2.584251,2.584488,2.584235,2.584125,2.584426,2.583998,2.584098,-1000,-1000,-1000,-1000,0,-1
3/23/22 14:01:28,20.86617,0.0550252,2.73295,210.7627,100.9872,59.233,31.45927,2.584189,2.5842,2.584485,2.584262,2.584136,2.584383,2.584039,2.584124,-1000,-1000,-1000,-1000,0,-1
3/23/22 14:01:29,20.86629,5.51E-02,2.733124,212.0885,100.9866,59.23546,31.45909,2.584239,2.584178,2.584397,2.584209,2.584131,2.584392,2.584013,2.584086,-1000,-1000,-1000,-1000,0,-1
3/23/22 14:01:30,20.86638,5.50E-02,2.732694,200.257,100.9866,59.23639,31.45662,2.584247,2.584257,2.584446,2.584252,2.584119,2.584389,2.584061,2.584209,-1000,-1000,-1000,-1000,0,-1
3/23/22 14:01:31,20.86586,0.0545245,2.732404,196.1995,100.9876,59.23641,31.45474,2.584182,2.584209,2.584416,2.584216,2.584097,2.584345,2.584001,2.584112,-1000,-1000,-1000,-1000,0,-1
3/23/22 14:01:32,20.86633,5.50E-02,2.731733,199.3276,100.9871,59.23668,31.45098,2.584211,2.584206,2.584359,2.584227,2.584126,2.584437,2.584029,2.584076,-1000,-1000,-1000,-1000,0,-1
3/23/22 14:01:33,20.86609,5.50E-02,2.731817,181.3136,100.9868,59.23725,31.44889,2.584264,2.584244,2.584457,2.584288,2.584182,2.584414,2.583966,2.584057,-1000,-1000,-1000,-1000,0,-1
3/23/22 14:01:34,20.86629,5.46E-02,2.731874,191.9545,100.9869,59.23709,31.45113,2.584153,2.584255,2.584439,2.584264,2.584063,2.58443,2.584071,2.584169,-1000,-1000,-1000,-1000,0,-1
3/23/22 14:01:35,20.86644,5.47E-02,2.732036,198.95,100.9862,59.23409,31.45306,2.584164,2.584263,2.584371,2.584255,2.584076,2.58437,2.584035,2.584221,-1000,-1000,-1000,-1000,0,-1
3/23/22 14:01:36,20.86657,5.51E-02,2.732058,194.3856,100.9862,59.23352,31.45336,2.584141,2.58434,2.584351,2.584219,2.584129,2.584373,2.583992,2.584143,-1000,-1000,-1000,-1000,0,-1
3/23/22 14:01:37,20.86605,5.57E-02,2.73205,184.0601,100.9878,59.23631,31.45249,2.584218,2.584267,2.584419,2.58425,2.584186,2.584382,2.58406,2.584144,-1000,-1000,-1000,-1000,0,-1
3/23/22 14:01:38,20.86675,5.49E-02,2.732392,195.5713,100.9874,59.23843,31.45456,2.584241,2.584292,2.584473,2.584292,2.584089,2.58436,2.584041,2.58419,-1000,-1000,-1000,-1000,0,-1
3/23/22 14:01:39,20.86638,5.52E-02,2.732294,205.3987,100.9868,59.23725,31.45358,2.584166,2.58432,2.584426,2.584327,2.584128,2.584403,2.584034,2.584152,-1000,-1000,-1000,-1000,0,-1
3/23/22 14:01:40,20.86613,5.50E-02,2.732168,206.5319,100.9879,59.23484,31.45478,2.584179,2.584269,2.584391,2.584255,2.584156,2.584403,2.584026,2.584094,-1000,-1000,-1000,-1000,0,-1
3/23/22 14:01:41,20.86614,5.47E-02,2.732168,187.0727,100.9892,59.23552,31.45349,2.584154,2.5842,2.584498,2.584283,2.584116,2.58434,2.58395,2.584173,-1000,-1000,-1000,-1000,0,-1
3/23/22 14:01:42,20.8663,5.50E-02,2.732477,188.0069,100.9884,59.23515,31.45559,2.584191,2.584247,2.584411,2.584272,2.584125,2.584419,2.584053,2.584166,-1000,-1000,-1000,-1000,0,-1
3/23/22 14:01:43,20.86633,5.50E-02,2.732217,199.5612,100.9874,59.23772,31.45318,2.58421,2.584221,2.58442,2.584215,2.584154,2.584354,2.584,2.584145,-1000,-1000,-1000,-1000,0,-1
3/23/22 14:01:44,20.86617,5.49E-02,2.732187,199.9149,100.9883,59.23526,31.45371,2.58419,2.584193,2.584436,2.584287,2.58413,2.584357,2.584059,2.584085,-1000,-1000,-1000,-1000,0,-1
3/23/22 14:01:45,20.86627,5.43E-02,2.731684,193.6675,100.9889,59.23026,31.45193,2.58417,2.584222,2.584373,2.584225,2.584147,2.584402,2.583994,2.584125,-1000,-1000,-1000,-1000,0,-1
3/23/22 14:01:46,20.86625,5.48E-02,2.731477,201.1679,100.9893,59.23258,31.4499,2.584117,2.584252,2.584409,2.584225,2.584068,2.584361,2.583979,2.584104,-1000,-1000,-1000,-1000,0,-1
3/23/22 14:01:47,20.86609,5.55E-02,2.731307,203.6176,100.9901,59.23403,31.44838,2.584175,2.584223,2.584465,2.584274,2.584122,2.584416,2.584016,2.584135,-1000,-1000,-1000,-1000,0,-1
3/23/22 14:01:48,20.86613,5.48E-02,2.73127,177.3296,100.9907,59.23331,31.44835,2.584208,2.584215,2.584481,2.584317,2.584143,2.584416,2.584016,2.584146,-1000,-1000,-1000,-1000,0,-1
3/23/22 14:01:49,20.86609,5.49E-02,2.731596,186.7421,100.9917,59.24246,31.44728,2.584273,2.584293,2.584407,2.584317,2.584144,2.584426,2.584019,2.584165,-1000,-1000,-1000,-1000,0,-1
3/23/22 14:01:50,20.8661,5.47E-02,2.731678,183.2083,100.9923,59.24722,31.44684,2.584191,2.584199,2.58446,2.58427,2.584119,2.58442,2.583993,2.584094,-1000,-1000,-1000,-1000,0,-1
3/23/22 14:01:51,20.86641,5.48E-02,2.732234,192.1408,100.9917,59.24876,31.44998,2.584191,2.584198,2.584383,2.584236,2.584136,2.584376,2.584019,2.584081,-1000,-1000,-1000,-1000,0,-1
3/23/22 14:01:52,20.86645,5.49E-02,2.732496,197.4387,100.9914,59.25219,31.45064,2.584209,2.584255,2.584426,2.584286,2.584161,2.584374,2.584035,2.584137,-1000,-1000,-1000,-1000,0,-1
